room id,review count,star rating,Accuracy,Communication,Cleanliness,Location,Check In,Value,comments
14993473,3,4.5,10,10,10,10,10,9,"we specifically came here to try their pizza that everybody is talking about, but left kind a disappointed. Pizza was average, nothing special, had that burned taste, we wanted to try margarita pizza with sausage or prosciutto, but they said that they can not mix two flavors, we have to buy two pizzas... I mean how hard it is to sprinkle prosciutto on one side of pizza.. girls who were working over there was very rude, was talking with each other in front of customers, we felt so welcomed. It's sad that we expected so much but left disappointed. Sorry.."
,,,,,,,,,"Holy yum. Wow, wow, wow. No other pizza tastes the same after eating here. 



We came on a Saturday around 11:30. They do not open until noon, so we had to wait in line outside. They brought out a sample pizza for all of us in line to have, which I greatly appreciated. It was so delicious it made me want to beat down the door even more. 



Once we were inside we quickly found a seat because there is little seating inside. It is great to sit at communal tables with loud, instrumental music blaring while the employees are tossing pizza dough into the air. 



We had the mushroom truffle pizza that was on special. It was close to $30, but holy hell it was worth every penny. You definitely got the truffle taste. Everything was so fresh. I often feel skimped on the truffle, not this time. 



I also love the fresh Parmesan, peppers, and other ingredients they leave out for you to dress every pizza bite with. 



Probably the best pizza I've ever had."
,,,,,,,,,"This. Is. The. Best. Pizza. Ever. Period. 



Not much more to say. I have eaten pizza all over the US and Europe, Italy included. Antico's is just that great. You order at the counter and proceed to find a seat. They have two sides to their menu, Rosso or Bianche pizza (think red / white). The pizzas are designed to be ordered as is, no substitutions, and frankly you wouldn't want to. The San Gennaro is probably the favorite. The ingredients translate to sausage, sweet peppers, cheese, and onions. Also tried and true deliciousness: lasagna pizza and Margherita with pepperoni. Flavors are just right. 



Now besides the amazing cheeses and fresh ingredients, the dough is the star. The pizzas are cooked in their pizza oven giving the dough the perfect doughy, soft, charred and textured consistency- its heaven on earth. I literally eat at least 4 slices. 



Now seating is community style and basically in the kitchen. Gives the place a totally different feel. You can grab fresh garlic, cheese, red pepper flakes or oil and bring to your table. Also, you can BYOB (awesowe!) 



This place is a must try for everyone. Just go!"
4190811,18,5,10,10,10,10,9,9,"Absolutely amazing!! I love this place so much, the pizza is just phenomenal. 



They have several pre-made choices on the menu, but you can also create your own pizza. I highly recommend the San Gennaro or the Diavola (I probably butchered the spelling but it's close enough! xD). You are looking at around 23-24$ for a pizza after taxes, depending on what you get, so yes, I must admit it's pretty pricey. Butttt it is so worth it!! Just go when you feel like treating yourself and with like 2 friends. One pizza can definitely feed 3 people max. 

They have a really good bar full of parmesan cheese, red pepper flakes, fresh garlic, red pepper chili paste, marinated peppers, and a salt and pepper mixture. The marinated red peppers are THE BOMB, I could just eat those by themselves. 



Drinks must be bought, they have water bottles, selection of sparkling waters, wines and beers. But did I mention this place is BYOB?! Grab your favorite beer and/or wine and bring it with you! There's plastic cups on the tables for people to use. so amazing, I brought a bottle of wine and my boyfriend brought his beer. :D 



I love the communal seating and the home-y feel of this place. Just really basic decor and wood seating. It has a nice ambiance! 



This place is quite busy on the weekends and holidays, so i'd recommend going to lunch on weekdays, or just arrive early. Honestly the wait isn't too bad, and the pizza comes out so fast since they take no time to cook in those super hot, legit wood burning ovens. 



Please visit this place at least once, you won't regret it!"
,,,,,,,,,"Antico is hands down, the best pizza place in Atlanta. It's my family's favorite pizza restaurant to eat at and we come here every time my brother and I are back in town. I've had the Margherita and the Sophia and they are both delicious. I judge a pizza place by their Margherita because it's a simple pizza that should be done right and Antico did a great job with the Margherita. The Sophia, which is bufala, cipollini onions, roasted mushrooms, and white truffle oil, has a ton of flavor and is a great pizza for vegetarians. 



I've also been to the Alpharetta location and I thought it was just as good. The Avalon is a fun area to walk around, so I think it's a great location for the restaurant."
,,,,,,,,,"Best pizza I have ever had, period. We got the lasagna pizza, the spinach/brocolli pizza, and a pepperoni with peppers pizza (I don't remember the actual unique names they give them). They all were absolutely delicious, the pizza is of true Italian origin. Light sauce, cheese is spread out not just thrown all over the pizza, same goes for the other toppings. Crust was amazing, it's baked in a wood oven so the slight smoked charcoal taste on the crust was absolutely amazing. 



The atmosphere is great, it definitely has the small pizzeria feel too it. It can get busy and you might end up without a place to sit, the place is small so it can get loud when it's busy. 



Price, this is where I take off one star. It is expensive!!! The pizza is really good like I said, but does $24+ a pizza warrant that, i'm not so sure it does. The ingredients are fresh, but I don't think they throw $20+ worth of it on the pizza. 



Would I go back? Yes, but only if it's a work outing and the company is paying, cause if you get two pizzas you're looking at $50! Ah! The pizza is absolutely delicious though, if you haven't been, go and splurge at least one here."
,,,,,,,,,"Best pizza I've ever had. Been around the world, across Italy, from Rome to Naples, Amalfi, Capri San Marino, Pisa, Cinque Terre, Verona, Milan, Venice and more; and never and NOWHERE have we had pizza as good as Antico's. The quality of the ingredients, the dough, the toppings, the ambiance. I don't even really like pizza and I can't get enough of Antico. Free parking if you can find a spot. The line may be long, but it moves quickly. Service is fast. They have beer and wine. Eat your pizza anywhere-- inside, outside by Amalfi bar and gelato place across the street, on a stoop or in your car. 

--- you're welcome!"
,,,,,,,,,"My first time here and ordered the Margherita pizza with pepperoni as well as the Sophia. We sat across the street at the cafe and the pizza was out in a flash it seemed! Atmosphere was fun and the patio was busy. I enjoyed the Margherita pizza but the Sophia was not my favorite. $27 for a pizza seems like a lot too. 



After pizza, I ordered gelato- Peanut Butter Cup. It was smooth and creamy, very good! Also ordered Caramel Cheesecake. The cheesecake was very dense and rich, only a few bites and we were done. 



We were a party of 4 and took home half a pizza and the cheesecake."
,,,,,,,,,"An authentic, hidden gem in Atlanta. This is my favorite pizza place! Why spend $20 on dominos when you can get this authentic Italian pizza for the same price?? 



Food: This pizza is rustic, wholesome and so satisfying. The San Gennaro is a classic if you like meat and a little spice. For something a little more mild, I love the Pomodorini. You truly cannot go wrong. 



Environment: So fast! Moments after sitting down you'll have your pizza. Order to-go or take a seat. There's extra seating in the back. Also hidden in the back by the kitchen you'll find fresh garlic, Parmesan, crushed red pepper, etc. They have drinks but you can also BYOB. 



Tip: After enjoying your pizza, be sure to walk across the street for some delicious gelato!!"
,,,,,,,,,"Atmosphere: 4 stars = picnic table seating with full open kitchen views, BYOB and parking 



Service: 1 star = on a Monday around 4ish two cashiers are more interested in complaining about not being able to wear shorts to work than helping me translate the menu 



Food: 1 stars = Where do I begin? 

1- you cant pick out your toppings and are basically at the mercy of the menu...cant even split toppings 

2- pizza was bland and crust was burned 

3- mediocre at best 



Pros: veggies were fresh and pizza too hot 

Overall it was nice to try a new place but it wasn't worth $20 so I wont be back again"
,,,,,,,,,"The first time I've dined at Antico was back in 2009 as a college student. I remember feeling a tinge of jealousy that Georgia Tech kids get to party with authentic Neapolitan pizza, while the rest of us are stuck with your bland, run-of-the-mill delivery pizza. 



Many years have gone by, and I still remember this place fondly. Upon my most recent visit, I learned that 1) most of their pizza costs over $20, 2) they have expanded their dining area by opening up the kitchen, and 3) they don't have dry oregano sprigs and peperonata on the table for you to garnish your pizza with anymore. Simultaneously, I was ecstatic to see that Antico is still thriving and that their pizza is still excellent. The quality of the ingredients is superb: the sauce made using the San Marzano tomatoes is pleasantly acidic, the crust is perfectly charred, and the bufala mozzarella is creamy. If this doesn't make you salivate, I don't know what will. 



Although they offer various different pizzas, I only order Margheriat D.O.P. As the famous saying goes, less is more. If you can handle spice, I would recommend Diavola; the addition of soppressata and peperonata packs a punch and flavor. 



In my experience, it is absolutely the best to eat their pizza right out of the oven, piping hot. So I would recommend dining in, rather than doing a take-out. No matter the day, they are extremely busy. However, with the glorious Acunto Napoli brick ovens sitting in their kitchen, they are capable of popping out their pizza really quickly - so the wait won't be bad at all."
,,,,,,,,,"Love the pizza & the atmosphere. 



You get this vibe that makes you feel like you're in a scene waiting for Julia Roberts to appear to hand you your pie. My and my friend use to eat here all the time before she moved & it brings back great memories. My favorite pizza to order is the Diavola. The flavors that hit your mouth as you bite into that meaty pie are unreal and I feel like if you could bite into Italy, that's what it would taste like! 



It can be very busy around lunch and dinner but it's totally worth the wait if there is one. Some of the best pizza in the city. Seriously if you haven't tried it yet you have to soon!"
,,,,,,,,,"Service DOES matter in my food experience and their service is notoriously unfriendly. If you remember the Soup Nazi in Seinfeld, you have the pizza equivalent here. And if you don't like garlic breath, then you're in bad luck. This place is overrated. And good luck with parking. 

It is the first time I share a review that is not a rave. And that's because service is something that cannot be overlooked in the restaurant business."
,,,,,,,,,"This is the best pizza in the city. It's VERY BUSY at night or on the weekends, which makes it hard for the first come first serve seating. I most recently went for lunch on a weekend, which was a much more relaxed environment. 



The calzones are HUGE!!!. Pizza's are also HUGE, but the thin crust makes it not too fulling. I usually can only eat 1-2 slices of pizza from papa johns, but I easily put down 3-4 slices here. If you have more than 2 people eating, it's best to order at least 2 pizzas."
,,,,,,,,,Craft pizzas at its best. Grab a diavolo or margarita and walk across the street to Bar Amalfi for some nice patio seating and bar service!
,,,,,,,,,"This place was suggested to us by locals in Atlanta (and were from Chicago so we have some high standards in pizza). 

We were with a big group so we just went ahead and ordered 4 pizzas- while we were waiting for the pizzas we were able to sit our large party at the seat your self tables. 

The pizza was fresh and amazing- and the condiments are also amazing. 



Defiantly will be revisiting the next time in town!"
,,,,,,,,,"Finding good pizza spots are hard. Finding good pizza spots that dish out your order in under five minutes are nearly impossible. Yet, Antico Pizza delivers. First you order whichever pizza you desire at the counter. Next, pick a seat. Then your pizza literally makes its way to your table. Be sure to grab peppers, cheese, olive oil, and garlic towards where they make the pizza too. 



We ordered the truffle mushroom pizza for $27, which is only being offered for a limited time. It was really delicious. The flavor and aroma of truffle and mushrooms was almost too much to handle! Every bite was so good. You just want to keep eating more. Before you know it, the whole pizza has been devoured! 



Seriously, if you want lightning fast pizza with quality ingredients, this place will surely amaze. My only criticism is that the bottom of the pizza is too flimsy/soggy. I wish it were thicker and stronger. Another thing I would like to note is that the walkway leading towards the cashier often gets too crowded. Having chairs and tables here must some type of fire hazard."
,,,,,,,,,"Terrific pizza, great toppings and atmosphere, great for groups"
,,,,,,,,,"Best authentic Italian pizza in town! There's something about the sauce they use that makes their pizzas extra delicious and special, not to mention they make their pizzas fresh & you can really taste it in the dough (YUM). You order at the counter then seat yourself; it's pretty much always packed but it doesn't take long to find a spot. The best part about this place is that it's BYOB, so grab a bottle of wine/pack of beer & some buddies and head on over!! 



Now onto the food, you really can't go wrong with any of their pizzas but my favorite is the classic margherita. I usually like to add some extra toppings such as pepperoni or sausage, but it's delicious just by itself too! All of their pizzas are pretty simple (not too many crazy toppings), but they are all so savory (again... it's the sauce!) that you really don't need the extra toppings! 



Parking: very limited parking/street parking so I'd recommend ubering, esp if you're planning on BYOB-ing ;) 



Price: Around $20ish for a whole pizza so some may think it's a bit pricey but trust me when I say it's absolutely worth the deliciousness!!!"
,,,,,,,,,"Really fun atmosphere being able to see the chefs cooking your food. Seating is open and makes it fun to sit next to total strangers and strike up a conversation. 



Food is great. Pizza dough tastes fresh and even the pizza crust tastes yummy!! You can help yourself to some free toppings like garlic, cheese, red peppers and some really hot peppers. 



Service is fast and super friendly. 



Parking bough is limited so carpool if you can if you're with a big party!"
,,,,,,,,,"Leeeeeegit pizza, a la Naples. You won't find Sicilian style of thick crusts here, but instead these are similar to NY style aka thin and you fold it in half to eat. 



You go up to the counter, order your pies, get a drink, grab a seat if there isn't a line and then they yell out your number. There are condiments aka garlic, Parmesan cheese, olive oil, and hot peppers by the ovens to which you can help yourself. 



Knocked off one star because of two reasons. First, I understand this can't be helped but they don't allow split pizzas-aka one side one style and the other half another style. So if you're a veg eater and your Boo eats meat, you gotta just get two pies. 



Secondly, why are the dang pies so expensive?! This isn't NYC. For a pie, the price is anywhere from $18-20. They sell hundreds of pies a day. So much profit. I wish they were more plebian-friendly. It makes the whole experience centered on hipster-, nouveau riche-, Subaru-driving people only. 



Lastly, a tip: Don't go on a night when there's an Atlanta United game, unless you love hoards of people, waiting for food and hovering for a seat."
15767683,1,,10,10,10,10,10,10,Had the San gennaro and the margherita pizza. The San gennaro was the best pizza I've ever had!
15658373,1,,10,10,10,10,10,10,"I have 5 favorite pizza joints in the entire country--this is one of those spots. 

I always order the margherita. 

Crust, sauce and cheese with basil. Everything was perfect. 

The establishment is half the fun--it's lively, the kitchen is a constant flurry of cooks, busboys and customers. You typically will eat right in the kitchen! The 3 large stone ovens are within sight and you can watch your pizza get made. the kitchen is set up with large benches so you eat in close proximity to other patrons if it is busy. 



It's not a romantic establishment by any means but it can still be a great date night. If you don't want to deal with the crowd (which I actually quite enjoyed) then get it to go. You don't have to order ahead--it is that fast and it'd probably taste better fresher. 



Pizzas are ready in about 5 minutes. I've never seen a more efficient restaurant but with excellent food. I will definitely be back next year during dragon con 2018! 



And for the record my other favorites are (no particular order) 

Best pizza 

Ciao! -Boston, MA 

Pacci's -Washington DC 

3palms pizzeria-Hudson, OH 

Antico-Atlanta GA 

Fabrica wood fired pizza-Tampa FL"
9029574,14,4.5,10,10,10,10,10,9,"This place is amazing. I take all visiting family and friends whenever in town..community seating, authentic flavors, and quick service."
,,,,,,,,,"Antico's consistently delivers quality, delicious, authentic pizza. Two of my favorites are the Diavlo (has a bit of a spicy kick to it) and the Sophia (a white pizza so memorable via the sprinkling of mushrooms and truffle oil). 



Another highlight is the toppings bar - spicy peppers, freshly ground pepper and red pepper, garlic, olive oil, chili oil, and of course, parmesan. There's nothing better than devouring your pizza and then being able to drench your chewy, smoky crust in garlic. Perfection. 



The vibe is quite hectic - but it's a fun vibe. There's always a line but it goes really fast. You have to wait for a table, but again, spots open up quickly. One downside is the parking, which is quite sparse in the lot as well as the street parking. it's worth it, just be prepared to stalk a spot or uber. Which brings me to my next point. 



They of course sell beer and wine, but Antico's is also BYOB, making it a great place for you and a group of friends to crack open bottles on bottles. 



I whole heartedly recommend Antico's. You'd be hard pressed to find a better pizza spot in Atlanta!"
,,,,,,,,,"Definitely one of my favorite pizza restaurants to go to in ATL. Everything here is so fresh and delicious. I've had pizza here several times and it always ALWAYS on point. The dough is soft and chewy and thin just the way I like it. The pizza is always HOT and you can taste the flavours. I love that the pizza is baked in a brick oven. Even better. Communal seating. Price point is for what it's worth. 



If you're looking for deliciouslyOMFGFGgggfddfagfsfaNOMNOMhshshhshshsDEL­IZIOSO tasty pizza or even looking to go into pizza heaven I highly recommend Antico. Everything is delicious. I could eat pizza here everyday. Service is always quick too. They deserve the 5 stars"
,,,,,,,,,Cool atmosphere and great pizza. My coworker took me there for the first time last week and I'll definitely be back to visit again. I actually recently went to an Antico's in Miami and I just really enjoy the quality of the food!
,,,,,,,,,"Delicious. Honestly, this was some of the best pizza I've eve had. We had the San Gennaro pizza and it was perfect, but I think the highlight was the 4 cheese calzone. That calzone was absolutely heavenly. We thought we were over ordering, but the pizza and calzone were completely gone when myself, my husband and our two kids left. We just couldn't imagine leaving any- it was that good. We would definitely return if we make it back to Atlanta. 

Just a heads up, no substitutions - they wouldn't even leave off the onions on half of the pie. You either order the pizza, or you don't."
,,,,,,,,,"I don't even love pizza- and I loved this place. Super casual for such great pizza. A little pricey for pizza, but worth it. Remember- BYOB!!!!"
,,,,,,,,,"What ridiculously amazing pizza! I seriously am not sure I have had pizza this good since I was in Italy. The ratio of toppings to cheese and pizza was great, and I LOVED the texture of the crust. We had the Pomodorini, and it was phenomenal. 



Before you go to Antico, you need to expect a few things so you will have a good time. Mostly, just know that it's not your average pizza place. 



Seating is quite limited. You may have to share a table with people you don't know. Also, you may want to plan to take your pizza to go as backup, but you can bring your pizza to tables nearby outside (such as the café across the street). 



It's pretty loud. It gets super busy, and most of the indoor seating is in a pretty echo-y room. 



If you order to go, listen closely for them to call your order. This goes along with how loud it is in there. A few people didn't hear when their orders were ready. 



Some people may see these traits as negative, but to me, they are just part of a unique and delicious pizza experience. 



My only real negatives were related to service and price. You sort of need an orientation to eat there ""correctly,"" and the cashier seemed a little put out with our questions. Also, it's a little on the sorbet side for pizza, but I won't deny that it's really good product. 



I will definitely be back and can't wait to try more of the pizzas!"
,,,,,,,,,"love this place! love the quick service, and true italian pizza in a family style seating area. 



All the ingredients are imported from Italy and it really does feel like you are in Italy eating the pizza. 



it can get extremely busy so go during off hours if you can or go when they 1st open for dinner. 



If the owners are reading this, I am begging you to bring a gluten free version of the pizza. I recently have gone on a gluten free avoidance diet and it's no fun staring at your kids eating the pizza."
,,,,,,,,,"Hands down, the best pizza I've ever had in my life. Antico is the real deal - an authentic Neapolitan pizzeria that serves up pies so delicious, you'll be spoiled for life. Their thin-crust masterpieces are baked to perfection in an imported Sicilian oven, lathered with a fabulous assortment of sauces, cheeses, peppers, and served piping hot to your table. Their San Gennaro pie is my favorite, with Italian sausage, mozzarella and hot peppers. The more traditional Margherita, a basic serving of sauce, basil and cheese, is also excellent. There's also a modest wine and bottled beer selection to pair with your meal. 



The setting isn't fancy -- most of the long communal tables are in the kitchen, so you can watch these pizza artisans work while you wait for your meal. Ample outdoor seating is also available in a patio across the street, next to their wonderful coffee and dessert shop. Don't forget to make a stop there afterward for some of the best gelato you'll ever taste this side of Italy. 



Next time you're in Atlanta, make a pilgrimage down to the West Side to enjoy some of the best pizza you'll ever have. Antico definitely lives up to the hype."
,,,,,,,,,"I really wanted to enjoy Antico. I love pizza, and couldn't wait to see what the hype was about. My experience started downhill right from the door. 



Whoever the cashier was, she was not polite to any new patron. Antico has rules around their pizza toppings, and it is on the board and on the menu, but when people are looking at the menu, they aren't necessarily reading all the fine print, they are getting straight to their meal! I, unfortunately, was one of those people who had asked one too many questions for this employee who obviously had much more valuable time and other ways to spend it. This experience alone was so bad I docked two stars. She even tried to publicly shame us by shouting at the top of her voice her incredibly condescending answers. Who does that? 



We ordered our pizza, got our wine, and the pizza came out quick. We also easily found a spot to sit which we were lucky because of how crowded it was. 



The pizza was very greasy and the toppings were skimpy. It was just OK. Idk if we got a bad pie, but I kid you not multiple times in biting the pizza I just had a glob of grease come out. Not interested in returning on my own, but if a friends want to, sure."
,,,,,,,,,"Yummy! Best pizza in ATL by far. Been waiting for this for so long and so glad i found this spot. Pizza was ready in 6 minutes!!! Margarita with pepperoni and a peroni beer....heaven!! If you love real Italian clay oven pizza this is the spot for u! You can take ur own wine or buy theirs. Perfect!! And across the street is gio gelato, next door is the Italian restaurant all owned by the same family. Genius!"
,,,,,,,,,"Fastest pizza I've ever had! My friend and I placed an order for the bianca pizza, and within 5 min of sitting down, a freshly baked white pizza topped with different cheeses, basil, and garlic was in front of us. We only managed to finish half the pizza, but that just means leftovers for tomorrow, right? The pizza was delicious and flavorful, and I would definitely recommend it to all in the Atlanta area!"
,,,,,,,,,"Omg their pizza is to die for! The wait is long but so worth it. I love that they have all these other little Italian restaurants on the same block. You feel 

Like you're in a town in Italy. Very cool concept."
,,,,,,,,,"I really wanted to like this pizza based on the rave reviews and even my guest that took me here, hyped up the pizza so much making it seem it was the best thing ever. Unfortunately, it didn't live up to my expectations. Went in on a Sunday and it wasn't too packed, decided to do the margherita pizza. We waited maybe 5-10 minutes. When it arrived, the pizza looked very authentic. However, it was extremely dry, hardly any sauce. I felt like I was just eating crust and cheese. I think the cooks were having a off day because even my guest found it to be mediocre. Antico's offers up some condiments like garlic, parmesian cheese, olive oil so we took advantage of that to get some flavor in the pizza. Overall, if I came back here, I'd go on a Friday or Sat, perhaps quality would be better."
11826823,4,5,10,10,10,10,10,10,"Two thousand three hundred and eighty eight people have already reviewed the place and it sits at four stars, what else can be said? 



This place is so friggin cool. You've got to check it out. We had a couple from Chattanooga visit and took them here. Three pies for the six of us and those slices went down easy. One Margherita DOP, one Pomodorini and one Diavola. All excellent. 



It's BYOB and that made it even more awesome I thought. 



I loved that you could get fresh basil, marinara, olive oil, garlic and more all from the counter. What a nice touch!"
,,,,,,,,,Really amazing pizza. I was in Atlanta on business and someone referred me here. Really good pizza and fast and friendly service. Would definitely eat here again.
,,,,,,,,,"After all the hype and having to leave twice because of the wait, my expectations were pretty high. 



Sadly, my experience did not measure up. 



First, the pizza. Ingredients were okay, but not amazing. The cook on both pizzas was very uneven, like they forgot to turn them before one side burned. The other sides came out undercooked. The sauce was thin and poorly distributed. The middle of the pie was soggy upon serving. 



Other considerations: 



The counter service is poorly thought out. 

Do I grab my own drink? What will you bring to the table? Where are the cups? What if I just want water? How is wine served? Why is this so freaking hard? 



The HVAC can't keep up. 

We went in May and the place was burning up inside. Too hot to be comfortable or maintain an appetite. We ended up leaving after we ate our first slices. 



The seating is tortuous. 

Clearly they want you to pay, eat, and leave immediately. No seats with backs. Just hard backless benches and stools that make your butt and back hurt. Not even remotely relaxing. 



The noise never stops. 

I understand that rampant shouting is was passes for ""vibrancy"" in restaurants today, but it's a trend I hate and one that hope will die soon. You can't have a conversation with your meal. It's just too damned loud. 



In the end, though, the pizza was just meh. Not worth returning."
,,,,,,,,,I am in love with this place!!! It has this lovely rustic and authentic feel to it with communal seating. AND it's BYOB. You can't beat a restaurant that lets you bring your fave booze! I went with a group of 5 and we had two pizzas- traditional Margherita pizza and margherita pizza with spicy Italian sausage. They were both to die for! They were cooked fresh to order either a little char on them and we waited for maybe 10 minutes max which is amazing. The restaurant was jam packed so I was really surprised by the fast service. Only downside to this location is that they don't have a soda fountain. Water is $1.80 for a small bottle and sodas are $2.99 for the aluminum bottles so definitely bring your own drinks. Don't forget to cross the street and take home some yummy gelato!
