room id,star rating,Accuracy,Communication,Cleanliness,Location,Check In,Value,comments
,,,,,,,,"Cecily was a great host! Her home is in an unbeatable location just two blocks from 6th street. We used the B-Cycles to get around town which was a perfect way to see the city, and there was a B-Cycle station just 2 blocks away. The house is located a few blocks from the biggest Whole Foods, 2 blocks from a bike-only trail, and 2 miles from Barton Springs."
,,,,,,,,"I had a very good experience staying at Cecily's place.  The room is spacious.  With the bed set up as a single there was plenty of room for my daily yoga practice.  And Cecily did a lot to make me comfortable.  The simple breakfast was elegant and delicious, she provided a terrycloth robe, and she had a pitcher of water waiting for me--much appreciated in the Texas heat.  I had a key, came and went as I pleased, and felt at home.

The location is within walking distance of restaurants, clubs, and other businesses.  It's also just a few blocks from a station for BCycle, the bicycle sharing system.  There is a driveway for off-street parking. "
,,,,,,,,"This was my first Airbnb experience and it was lovely! The family was welcoming, flexible, helpful, and personable. The room was as described with a very big bed. There was a window AC unit and a mini fridge in the room. We didn't rent a car and the bus stops were very close. We would definitely stay here again and I recommend it."
,,,,,,,,Cecily's was a great host and offered a great size room and living space. She had a spare key so I could come and go as I pleased and she had plenty of tips and suggestions about the area. Her place was just 2-3 blocks from a few restaurants and only 2+ blocks from several bars and restaurants. 
,,,,,,,,"Cecily really makes you feel welcome! She is a wonderful and kind host. The house is so cosy and pleasant, and the neighbourhood is very quiet and nice. It's very close to the Austin Convention Centre and a great Whole Foods store. Really recommend staying at Cecily's!"
,,,,,,,,"Cecily was very accommodating during mine and my boyfriends' stay.  I was in Austin for a conference and I wasn't sure too sure when I'd be able to arrive to the room so luckily she was flexible. The location was great - we had our car but we walked everywhere. The room description is accurate and it was perfect for us. We love exploring where we go so the downtime we had, we would hop onto the internet which was quite fast! Great stay. "
,,,,,,,,Cecily was a wonderful host start to finish! Everything was exactly as described and the location can't be beat. Would definitely stay here again.
,,,,,,,,"We had a wonderful time at Cecily's place! Austin is a great time - and her place was the perfect base for our adventures. We were able to walk or ride bikes to all of the attractions we wanted to see - 6th street, Rainey street, Barton Springs, Congress Bridge, etc. Even though her place is so close to the action, our room was very quiet and we slept great! The room was quiet and dark with a king size bed. Cecily was very friendly and gave us great recommendations about what to see and do in the city. We were even lucky enough to get a ride to the airport from Cecily - which was really going above and beyond with hospitality. Thank you for everything Cecily!! "
,,,,,,,,"Cecily was a wonderful host, incredibly kind and welcoming. The space was just as she described it and catered to our every need. The neighborhood was steps away from Downtown Austin but perfectly hidden away from the hustle and bustle of 6th Street. We were able to walk to almost everywhere, and never had any issues coming and going whenever we pleased. Cecily's daughter was absolutely adorable and very well behaved, considering she is a toddler who wakes up early in the morning, we barely ever heard her and when we did, it was the cutest thing. The entire space was clean and very well taken care of. The bed was HUGE, that was a great plus. Overall, we really enjoyed our stay and are happy that our first experience with airbnb was so pleasant. "
,,,,,,,,This was my first airb&b experience and it was great.  Cecily was a wonderful host.  Her place was clean and inviting.  The location was perfect.
,,,,,,,,"Cecily was a perfect host who provided amazing hospitality and great insight on things to do around Austin. She had a welcome book that included brochures of destinations and maps of downtown.

Her neighborhood was awesome and very convenient. Cecily lives right next to 6th street which had many great restaurants such as Walton's (which has an incredible breakfast sandwich). There was a ""B Cycle"" a few blocks away which we could ride to any point of interest. Since her home was near the center of the city, it was easy to explore every district that Austin has to offer.

If you are looking for an airbnb location in downtown Austin, I would extremely recommend staying with Cecily."
,,,,,,,,"We had a great 5 day trip in Austin staying at Cecily's.

Cecily's place is in an excellent location-we didn't rent a car so it was ideal to be just a few blocks from downtown. It was pretty easy to walk and occasionally take the bus to explore the city.

Cecily was a very courteous and informative host and she provided plenty of tips on things to do and how to get around town.  Her daughter Posey was absolutely adorable!

Our room was very spacious and comfortable with A/C, a mini fridge, a dresser, bathrobes, and plenty of outlets.  The house itself is lovely, with a beautiful yard full of flowers and palm trees.

I highly recommend staying at Cecily's for a great Austin experience!"
,,,,,,,,"Very simple and good contact with Cecily. Arrival was smooth and friendly. Apartment looks exactly what I expected from the photos. Fine bed. Price is fair for this neighborhood (lot's restaurants, bars, very central). The location is superb!"
,,,,,,,,"Cecily was a great host. Her apartment is very conveniently located, and we could walk to everything. The room was nice, and she was very considerate about making sure that we had everything that we needed."
,,,,,,,,"Though it was a basement, space, we had a pleasant and cosy experience staying at Cecily's place! The weather was unexpectedly cold when we were up in Austin, but fortunately Cecily provided us a space heater to warm us up. Posey was also very adorable!"
,,,,,,,,"Cecily was so nice! She was very welcoming and made my friend and I feel at home right away. We arrived late and were so fortunate that she was awake and waiting for us, very nice of her. We had a very comfy bed and a great size room. The only bad point of the bed was that the blankets were a bit small so my friend and I were playing tug of war. She did supply us with more blankets so the second night was better. She supplied us with a binder full of past reviews from customers and things to do in the city which helped us a lot. In the morning she had coffee waiting for us in which was a godsend! She had a lot of helpful recommendations of things to do. I'm bummed we didn't get to meet Posey, but we heard her a little in the mornings and she seemed adorable!  We had such an amazing experience at Cecily's and I would stay there again in a heartbeat!"
,,,,,,,,"Cecily was a great host and provided exactly what we were looking for - friendly but non-intrusive. She gave us some great recommendations for eats around the neighborhood!

The bed, though a futon, was enough to provide us with several cozy and comfortable nights' sleep. 

The best part of the stay is its central location; can't beat the 10-minute walk to bars and live music around Austin. If we go back, we'll totally reach out to Cecily again!
"
,,,,,,,,"Staying with Cecily was a really wonderful experience. We came at an unreasonably cold time (for Austin) and she provided extra blankets and a space heater. She made breakfast in the morning, told us where to get BBQ tacos, and was generally just such a sweet host."
,,,,,,,,"Cecily's place was warm, welcoming, and clean. Because it's conveniently located downtown, it makes for a great base to explore Austin. My husband and I slept soundly and found Cecily to be very accommodating. We also used the well-equipped kitchen to make ourselves breakfast and reheat some food; it's a luxury to have access to a great kitchen when traveling. I'd stay here again!"
,,,,,,,,Cecily was a fantastic host and was incredibly accommodating. Also the location couldn't be better! I feel so lucky to have been able to stay. Highly recommended. 
,,,,,,,,"Great stay with Cecily. Location is central (2 blocks from the first bars and restos, just a 10-min walk from 6th St, and 3 blocks from buses to take you anywhere) but it was quiet and peaceful at the house. Cecily was very helpful and friendly, and Posey was fun to play with! She was actually pretty well-behaved and the door blocks enough of the noise, so don't let that stop you. Just a little dark since it's a basement, but other than that, everything was great!"
,,,,,,,,"Cecily and her little familiy were very warm and welcoming. Big thanx to that. And even the whole house, the flat is in, is very open, arty and welcoming.Thanx to Blair, the one of a kind landlord! I very quickly felt home and happy to be part of the whole thing. On the other hand I did have perfect privacy when ever I felt like it. Posey the little toddler was just an amazing sweety! Smiling all over her face everytime I saw her. As I was in Austin due to a Conference I didn't have as much time as I would have wanted to have with Cecily and Posey, but that's the way it is.
Thanx for that great week, I would definitely come back."
,,,,,,,,"I really enjoyed staying here. The place is very well-located in the city (a 10-minute walk to 6th and Congress) and on a nice, relatively quiet street. The place is straightforward and cozy; though small, it's easy to get privacy. Cecily is a lovely host and is very flexible when it comes to arrival and departure times, and all other comings and goings. If I need an Airbnb the next time I come to Austin, I would happily reach out to Cecily again."
,,,,,,,,"Cecily's place was very nice. Located in a very convenient place as it was very quiet but quite close to the living heart of the city (6th street). The bedroom was very neat, clean and comfortable.
Cecily was very kind and welcoming, and gave me precious advice for visiting the city. And the little child was absolutely adorable :)
Definitely recommend this spot!"
,,,,,,,,"Cecily was a wonderful host and my trip was delightful. The home was ecclectic and inviting and wonderfully located within walking distance to downtown, whole foods and the river. My stay was wonderful and Cecily was very helpful with directions and recommendations. I highly recommend staying as an alternative to busy, expensive downtown hotels!"
,,,,,,,,"Cecily was very helpful and really kind. She made us coffee every morning, and helped us find what we were looking for whenever we asked. She also had a very helpful book with suggested things to do and restaurants around town in the room. Thanks Cecily!"
,,,,,,,,"I had a really great time staying with Cecily, Phillip, and their daughter. They were very welcoming and recommended some great places to check out. The house is wonderful and in an amazing location. I definitely recommend staying with them if you have the chance. "
,,,,,,,,"I couldn't have asked for a better experience than staying Cecily, Phil and their beautiful daughter.  They were all warm and inviting hosts, I felt at home my entire stay in their apartment, and their daughter is a complete sweetheart.  Cecily and Phil were great at offering advice on what to do and how to get around, and Cecily was even kind enough to invite me to join them in going to the Salt Lick outside of Austin, which was amazing!  Cecily also makes really great coffee :)  The room was exactly as listed, the futon bed was quite comfortable, and the A/C unit kept the room nice and cool, even threw the heat of an Austin summer day.  I would definitely recommend for anyone visiting Austin!"
,,,,,,,,"Cecily & Phil were wonderful hosts! Coffee each morning, nice, cold air conditioned  room with the Austin heat & humidity. Very comfortable bed & large room for my 4 night stay. Really augmented my Austin experience! "
,,,,,,,,"great experience in Austin. was definitely able to get a feel for the ""real"" Austin, main reason why I prefer airbnb over standard hotels. the location is great and the hosts are very accommodating with any of your needs. great place to enjoy Austin.

Also their baby is super adorable"
,,,,,,,,I had a wonderful stay. They had good advice on where to eat. Good walking distance to much of downtown. Clean comfortable room. 
,,,,,,,,"I loved staying at the 'Austin Historic home bedroom only' with Cecily, Phil, and their beautiful 18month daughter.  Although I was only in the apartment for 5 hours at a time, because of all the SXSW events going on, I felt as if I were at a family members home.  Slept on a comfy futon.  House was clean.  They offered breakfast, but I was always rushing out of the house and I never had the chance to sit down and eat with them.  I LOVED the location, it was 2 blocks away from where I needed to DJ.  I highly recommend staying there, hope I'm able to stay at the same location next year.  Thank you Cecily & Phil I enjoyed my convos and staying at your lovely home.  Cheers. "
,,,,,,,,Thank you for your hospitality. I thoroughly appreciated you guys let me hang out besides offering the room. Great location and I wi be back soon! 
,,,,,,,,"My son and I had a wonderful stay with Cecily, Phil and their adorable daughter. Their apartment is very comfortable and the location cannot be beat. They had wonderful suggestions for activities and places to eat and really made our stay in Austin great. "
,,,,,,,,Great house and great family to stay with. House was very comfortable and the family was very friendly. Thanks for letting us use the bicycle and the umbrella!  Only issue is that there was a couple of waits for the bathroom - one bathroom and four adults + baby = hang out for a couple of minutes till the door opens.
,,,,,,,,"There were no surprises in the accommodations; everything matched the description. The hosts are positive, sunny, and all-around lovely people. I would definitely stay again."
,,,,,,,,"Our stay here was an invaluable experience for my wife and me.  We visited Austin from the northeast to scout it out for a potential move next year -- this is a very big & scary thing for us.
We could not thank Cecily & Fam enough for their warmth and hospitality; their influence on our experience in this city was vast and incredibly informative.
Besides how awesome they were, the location and house are both AMAZING!  Cannot stress how awesome the location was for walking downtown, through the green belt, to Zilker Park, to Wholefoods, to see bats under the Congress Ave bridge, et cetera. (disclaimer: we're NYers and don't mind walking 20 minutes to take in neighborhoods and atmosphere). (PS: Zip car cars also located TWO street blocks away -- amazing!) Look the location up and see how central it is for yourself.
If you're looking for an authentic stay in Austin, in an incredibly historic and beautiful home, centered in the heart of downtown we can't recommend this place more highly.
Thanks again for a wonderful vacation and view into our future."
,,,,,,,,"Cecily and her family were incredibly warm and welcoming during my Austin visit - I'm still reflecting upon what a great time I had during my time there, and their hospitality was a very big part of it. Everything was clean and accommodating, the hosts themselves friendly and helpful, with hints on things to try and places to see, as well as a helpful insider's look on the changing city itself. Very highly recommended!"
,,,,,,,,"Cecily andv Phil both made my time in Austin very enjoyable. They make their guest feel right at home in their home. Both very easy to be around and also very generous with their knowledge of Austin and America. The room is very spacious and being partially underground, the home is a cool  haven when the Austin sun is hot. I would highly recommend a visit with Cecily and Phil if you are going to Austin. Also the location is great, very close to downtown and in a quiet area. "
,,,,,,,,"Cecily and Phil were great hosts! We stayed for 4 nights. The room was really big and comfortable, stocked with all the essentials. They recommended some great things for us to check out during our stay and we definitely weren't disappointed. The location of the apartment can't be beat--we were within a couple blocks of everything that was worth doing. There was some construction going on at their intersection, so getting there and parking was a little tricky, but of course that's not their fault. We would definitely stay there again!

P.S. The little one is adorable :)
P.P.S. Beg Phil to make you a waffle."
,,,,,,,,Loved staying here! The location was perfect and the room was cozy.  I was hesitant about the futon but it was actually very comfortable.  Cecily was a great host and we always felt comfortable.  The only thing is there was loud construction outside while we were staying- in the future I would ask about that.  But I would definitely stay there again!
,,,,,,,,"Cecily and her husband have a nice, well-located home and provided everything I could want.  They were good hosts.  I'd recommend them."
,,,,,,,,"Our trip to Austin didn't start out exactly like we had planned but Cecily and Phil made everything so great and we ended up having a fantastic time in Austin.  They are incredibly warm and positive people. We enjoyed everything about our stay with them from the wonderful breakfast and coffee to the interesting conversations about travel, food, and culture.  The room was very comfortable (one of the most comfortable futons ever!) and clean and their location is very close to shopping, restaurants, and sightseeing.  The overall value is great and they gave us a key to their unit so we could come and go as we pleased.  We felt very safe in their neighborhood.  I highly recommend staying with Cecily and Phil if you are staying in Austin and want to explore the downtown area.  It's a great place to stay and you will not be disappointed!"
,,,,,,,,"Cecily and Phil were fantastic hosts - made me feel very welcome, full access to the kitchen, very helpful with tips and suggestions and fun as well and very good quality towels - in fact the best quality I've had on my travels with airbnb. I hired Cecily's bike which was the best way to get around although it was a bit hot - a few just under or over 100 degrees days! Austin is fabulous and there's live music just a block or two from the house. Would highly recommend both of them and their home. "
,,,,,,,,"Cecily and Phil were amazing! Even when my request was last-minute, they replied immediately and we arranged the stay. They were very accommodating and made me feel like home. We even went to a bar and chatted about movies, politics, evolution and all things Darwin. 

The room is very cozy and the futon was surprisingly comfortable. In addition, the simple fact of waking up to home-made waffles made my mornings. They also handed me a set of keys and gave me the space I needed. I had a great time in Austin and most of it was because of them."
,,,,,,,,"Very nice and helpful hosts, great location! It worked out on very short notice. "
9561101,5,10,10,10,10,10,10,"Michael was a lovely host. He welcomed us personally to show us around his house (which is super well equipped) and gave us great tips about how to spend our time in Austin. Kind of fell in love with Wholefoods (slightly embarrassed about how much time was spent there, ha) and the rest of Austin too. Thanks for everything. "
,,,,,,,,"Mike is an outstanding host! He took the time to show us around and also gave us some great Austin history and restaurant suggestions. The house is super close in to all 6th St has to offer. It is tucked away in a somewhat industrial alleyway, so noise ways sometimes an issue. (Garage trucks, trains etc) But that is part of the fun in a 100 year old house! Looking forward to visiting Austin again!"
,,,,,,,,"Michael & his place were a great place to stay while we were in Austin.   He was very prompt in answering all of our questions, he gave us a nice warm intro to his house and the surrounding area with some very good suggestions!

Location: walking distance to market (~5min) and most things in downtown (~15 mins at the furthest). A bit hard to find when you first show up as its down an alleyway, but the location is not sketchy at all.  Turn down the alleyway where cowgirls & flowers is located and you can't miss it.

House: We put 8 people here really comfortably.  The 1 bathroom never ran out of hot water.  Michael has stocked the house with anything you could possibly need.

Overall, very nice stay.   Would recommend to anyone."
,,,,,,,,Great location. Thank you!
,,,,,,,,"A few of my friends and I had the pleasure of staying in Michael's house during weekend 1 of Austin City Limits. It was the perfect location! We were able to walk everywhere. The beds were comfortable and we had ample space for the 4 of us. Michael was very easy to communicate with and he was there to greet us, give us a tour and shared many recommendations. It was a great stay! Thank you, Michael!"
,,,,,,,,Mike was very helpful and very cool guy. Loved his place! Perfect location 
,,,,,,,,Michael was very accommodating and communicated well with myself and my guests while we stayed there.  Location is great and the price is right. Would definitely stay there again. 
,,,,,,,,"Awesome host, place, location, value, communication!!!!

Epic trip and place to stay!!!"
,,,,,,,,"We had an awesome stay here! The house was an easy walking distance to 6th street bars and 24 diner.  Michael was such a good host. He let us know about several restaurants to try within a couple blocks of the house, and they were tasty."
,,,,,,,,"Host made us feel very welcome and even went as far as asking the business next door if we could park our Boat in the parking lot of the neighboring business's parking lot. Very pleased with the home and location. The home is quaint and comfortable, not a lol of upgrades in as far as Granite and bathroom remodel but the location trumps all of that easily. "
,,,,,,,,Great home! The description was accurate and the photos were very helpful to show the house. Everything was perfect and the house had everything we needed. We came for a bachelorette party and we easily slept 7 girls in the available beds. Perfect location as you could walk to many places nearby. The parking spot was a little tight for my small crossover but still worked out perfectly for us. So thankful to Mike! He was also very flexible as we were driving and running behind our original check in time. 
,,,,,,,,Host was very welcoming when we arrived. Showed us completely through the house as well as provided us with tips for near by food and nightlife. The house was located walking distance from 6th street as well as walking distance to whole foods. Nice two bedroom house that was perfect for our group. 
,,,,,,,,We stayed here for a weekend and had a great experience! The house is adorable and feels very warm and comfortable. Highly recommended!!
,,,,,,,,"I had a chance to book Michaels home in Downtown Austin for a last minute trip. Michael was responsive accommodating and very helpful. His  home was fantastic well appointed and walking distance to everything. Exactly what we needed. I would definitely stay with him again
"
,,,,,,,,"CUTEST HOUSE EVER! There was 6 girls that stayed here for a bachelorette trip and we ALL LOVED IT.  I would have to say that for 6 girls - this place slept us ALL comfortably with plenty of room!  The house has so much charm and it has PERFECT LOCATION we were able to walk to 6th street, and so many wonderful restaurants within a block of the house.  Also, Michael was an amazing host... he greeted us when we arrived gave us a little tour and even recommended some places! I highly recommend staying here, you won't be disappointed!  "
2967570,5,10,10,10,10,10,10,"Crystal's place is beautiful, stylish and in a great location. The shower is amazing and the bed is comfortable. The kitchen is well stocked with the little things you need while you're staying there. Crystal's communication was excellent throughout the process. Take a look at her guidebook which has very good dining recommendations. We look forward to staying here again. Thank you, Crystal!"
,,,,,,,,"I had a really positive experience staying at Crystal's place in Austin.  The apartment was exactly as advertised and to some degree looked even better in person.  Crystal was communicative and helpful, the welcome book she has for guests contains a ton of info.  The check in and check out process went really smoothly.  I learned that Austin is a pretty spread out city, so quality of the location would depend on what you want to do and the type of transport you have.  I didn't rent a car and used Fasten/walked to get around and was able to see most every part of the city itself.  If you're pretty active like me, it's walkable to downtown, Rainey St, 6th st, Lamar, etc.  Great experience!"
,,,,,,,,"The location couldn't be better.  You're in the heart of Austin and can easily walk to restaurants, bars, and tourist spots.  The apartment had modern appliances and easy parking.  Crystal responded quickly and let me check out late.  Between location, apartment quality, and Crystal's kindness, I'd love to stay here again. "
,,,,,,,,Had a wonderful overall experience. Place was exactly as described and pictures doesn't do it justice. Check In/Check Out process was nice and easy and  would recommend to anyone!  
,,,,,,,,Awesome space awesome place! So clean and they thought of everything! One of the best spaces yet. close enough to get involved in the city life but far enough to be private as well! Awesome Host! 
,,,,,,,,"We have stayed at multiple places of Crystals and we are never disappointed. We had a very comfortable stay, kitchen and bathroom are well equipped. The patio was great and plenty of space in the rental. Location also couldn't be better, we highly recommend this place! "
,,,,,,,,Great stay... everything was as promised and more! 
,,,,,,,,Great place! Every possible amenity provided. Had a wonderful visit to Austin! Thanks!
,,,,,,,,"Crystal was great, she provided all of the information we needed and her place was perfect for us."
,,,,,,,,Crystal was very communicative and provided excellent details about the apartment and recommendations for what to do around town. The place looks exactly like the pictures- clean and modern. I highly recommend staying at her perfectly located apartment!
,,,,,,,,"Crystal was great with communication prior to staying at her place and gave great directions for easy in and out.  Her place was very clean, tidy and was a quick walk to the action on 6th street.  There was plenty of products available to use and had great towels.  I would definitely stay there again. "
,,,,,,,,The host was very easy to communicate with giving easy check in instructions and lots of recommendations left in a folder at the apartment. Super cool warehouse style loft in a good location. She left the fridge stocked with stuff also which was very nice. Thanks for the great stay in austin!
